,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
4555,PERMIT - SIGNS,SIGN PERMIT,1,0.0,200.0,0.0,200.0,150.0,0,0.0,150.0,0.0,0,0,0.0,350.0,2000.0,6,63000,44,1
4559,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,22000.0,28,837800,27,1
4564,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,8,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,7500.0,33,330100,3,1
4568,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5,525.0,0.0,0.0,525.0,0.0,0,0.0,0.0,0.0,0,0,0.0,525.0,60000.0,29,290900,24,1
4570,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,68,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,9350.0,32,839100,42,1
4571,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1260.0,75,0,1335.0,1335.0,345000.0,44,440300,6,1
4577,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,3500.0,21,210700,33,1
4580,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,34,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,4500.0,28,281900,42,1
4582,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,10000.0,32,839000,4,1
4583,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,39390.0,6,63100,44,1
4597,PERMIT - SIGNS,SIGN PERMIT,1,0.0,200.0,0.0,200.0,100.0,0,0.0,100.0,0.0,0,0,0.0,300.0,1800.0,22,222200,32,1
4617,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,3250.0,35,839600,3,1
4618,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,50600.0,19,190601,30,1
4622,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,10795.0,33,330200,3,1
4627,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,9295.0,63,630900,23,1
